,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_1,1.00000000,-0.01025102,0.00683583,-0.02022893,0.01208023,-0.02764121,0.00207757,-0.00773749,-0.01078097,0.01415691,0.00726597,-0.00894275,-0.00579384,-0.06540390,0.01977153,-0.00522805,-0.00711256,0.01196765,0.01518264,0.01621361,0.00269267,-0.01143218,0.00757768,0.01190012,0.03250446,-0.04226218,0.02355964,-0.00643206,-0.03791158,-0.00310849,0.00598578,-0.01826812,-0.02478309,-0.00627066,0.00691316,-0.02135952,-0.00880801,0.04992873,0.01566681,0.00217053
x_2,-0.01025102,1.00000000,-0.02434147,0.01251162,-0.00634191,-0.03410032,-0.03441878,0.01241191,-0.04059625,-0.02451973,-0.02438507,-0.02078457,-0.00838016,0.00829052,-0.01963721,-0.01936631,-0.01298051,-0.01294034,0.01218709,0.00679144,-0.00366239,-0.01202723,0.02686479,-0.00531250,-0.01244533,-0.03087415,0.00343375,0.01223978,0.03275828,-0.02093310,-0.00477496,-0.00173993,0.00876307,0.01616107,-0.03112962,-0.02553410,-0.00567947,-0.00383248,-0.02012880,-0.02836615
x_3,0.00683583,-0.02434147,1.00000000,0.02033717,0.33969099,0.34087340,0.32570813,-0.00685559,0.71020456,0.29219987,0.34261224,0.27409599,0.00254342,0.00832504,0.30337365,0.35125002,0.27217049,0.18508456,-0.02900959,0.30779093,0.36851388,0.29241682,-0.01003014,0.43549447,0.00725749,0.01341708,0.36999454,0.01915817,-0.04625432,0.36289626,0.38127255,0.28338761,0.09250040,0.30992873,0.31571471,0.31341622,0.33453585,0.29498822,0.45342954,0.55865950
x_4,-0.02022893,0.01251162,0.02033717,1.00000000,0.02747137,-0.01914689,-0.02991444,-0.02080128,-0.02505233,-0.00824993,0.00819580,0.02175589,-0.00888224,0.03217597,0.01002728,-0.01893641,-0.04957597,-0.01624340,-0.00044035,-0.00532208,0.00033979,0.00603643,-0.00778809,-0.00329626,-0.01086411,0.04000996,0.00680284,-0.00326796,-0.01632193,-0.01330112,0.01032305,0.02258611,0.00672690,-0.00824678,-0.00655996,-0.00550924,0.02644092,-0.00030691,0.00585094,-0.00146624
x_5,0.01208023,-0.00634191,0.33969099,0.02747137,1.00000000,0.36144276,0.35188804,-0.01033310,-0.01283578,0.35039507,0.42521383,0.34492112,0.00741365,0.00244995,0.34896891,0.40357710,0.32887000,0.22433620,-0.02728186,0.33172197,0.40673118,0.32151055,0.00899786,0.46832412,0.01368878,0.01846440,0.39228263,0.03206156,0.01120430,0.39683666,0.38960455,0.33447974,0.15427881,0.34873043,0.35364763,0.32703849,0.34976164,0.35918365,0.50745261,0.45861870
x_6,-0.02764121,-0.03410032,0.34087340,-0.01914689,0.36144276,1.00000000,0.34082235,0.00442974,0.58844481,0.28485132,0.35712918,0.30231457,-0.01082293,0.02325402,0.34778839,0.38399567,0.30626585,0.21920364,-0.02635202,0.32420048,0.40242520,0.32741681,0.02778517,0.44478136,0.01400778,-0.00608524,0.35968755,0.00281815,0.00778232,0.38896108,0.38172999,0.30434422,0.11635716,0.31510771,0.33753210,0.32296883,0.32229889,0.30532071,0.46569144,0.55822108
x_7,0.00207757,-0.03441878,0.32570813,-0.02991444,0.35188804,0.34082235,1.00000000,-0.00156156,0.63447091,0.31392571,0.38432489,0.31303892,-0.00068726,-0.00626436,0.32024466,0.34795865,0.32500879,0.23677273,-0.03388998,0.32084721,0.38762304,0.29890250,0.00170269,0.44175182,-0.00889074,0.01739843,0.37244719,-0.00040866,0.00413619,0.37700200,0.39008425,0.30202494,0.10341580,0.30196137,0.27214670,0.29374367,0.29789966,0.31557272,0.42885480,0.55833772
x_8,-0.00773749,0.01241191,-0.00685559,-0.02080128,-0.01033310,0.00442974,-0.00156156,1.00000000,0.00320317,0.01332823,-0.01140633,-0.02641315,-0.01384649,-0.02143847,-0.01370657,-0.02732664,-0.01289287,-0.00848344,0.00565207,-0.00105241,-0.02543569,-0.04276255,0.01729149,-0.02105342,-0.01065232,-0.02764207,-0.03206432,0.01003942,-0.01961289,-0.00066482,-0.01074876,-0.03521233,-0.02713426,-0.02097610,-0.04272578,-0.04762006,-0.03127684,-0.01464087,-0.04676650,-0.03520988
x_9,-0.01078097,-0.04059625,0.71020456,-0.02505233,-0.01283578,0.58844481,0.63447091,0.00320317,1.00000000,0.25662489,0.30982265,0.25470977,-0.00214864,0.00314140,0.29511853,0.32321201,0.26953293,0.19510874,-0.02884172,0.29756692,0.35613495,0.27965726,-0.00084261,0.40453727,-0.00265513,0.01094214,0.33576601,-0.00511684,-0.03194042,0.34709721,0.36602754,0.25966012,0.07013292,0.27630388,0.26725282,0.28861811,0.28838029,0.26308041,0.39800747,0.59309311
x_10,0.01415691,-0.02451973,0.29219987,-0.00824993,0.35039507,0.28485132,0.31392571,0.01332823,0.25662489,1.00000000,0.83196493,0.30457183,0.02524814,-0.01057091,0.29502982,0.34243458,0.24077778,0.16187222,-0.04702778,0.29341615,0.34029039,0.26053750,0.00902600,0.42185649,-0.02060206,0.01623674,0.35463336,0.05362214,-0.04678046,0.35779208,0.35301795,0.29689402,0.12177671,0.29783164,0.28654026,0.27752421,0.26854726,0.27831520,0.40244869,0.57846861
