,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_1,1.00000000,-0.00144812,0.03357965,-0.02418771,0.04332153,-0.00227876,0.02031224,0.03349581,0.01002549,0.04256965,0.02966798,0.00318209,0.00967786,-0.03140381,0.05162175,0.03205283,-0.01319048,0.00962567,-0.01715964,0.05248102,0.06118530,0.04617145,0.00961049,0.02897154,0.02747022,-0.04257897,0.03694724,0.04120221,-0.04386455,0.00380455,0.02698158,0.01711524,-0.00667423,0.00784660,0.04632845,0.01699244,0.00859725,0.10187013,0.07503302,0.06278431
x_2,-0.00144812,1.00000000,-0.00982860,-0.00977133,0.01174190,-0.02143636,0.00039873,-0.00157972,-0.01785056,-0.03726190,-0.03054665,-0.01653070,-0.02700787,-0.01553534,-0.02106006,0.00635232,-0.01519857,-0.02607393,0.02218330,0.01735319,0.01208914,-0.00057869,0.04410921,-0.00316296,0.01230108,-0.02877986,0.02467897,-0.04564099,0.04601496,-0.04236236,-0.00764792,0.01703832,0.03036964,0.02012409,-0.01523421,-0.02608399,-0.00188887,0.00342419,-0.00830122,-0.01600039
x_3,0.03357965,-0.00982860,1.00000000,0.06484372,0.27801577,0.26562463,0.25891362,0.02319919,0.67674413,0.19860759,0.23284310,0.19319814,0.04364512,0.02864255,0.23574733,0.29760726,0.21885136,0.12232563,-0.02220220,0.23979516,0.29429940,0.22578268,-0.00992143,0.35968128,-0.02063710,0.02543666,0.30289062,0.01533810,-0.04775206,0.29045046,0.31630395,0.22043670,0.03626738,0.22112427,0.23523912,0.24412363,0.26247771,0.22997134,0.36415149,0.48897293
x_4,-0.02418771,-0.00977133,0.06484372,1.00000000,0.02788424,-0.00166409,-0.04544986,-0.00846646,0.00150898,-0.04298678,-0.00735477,0.03069460,-0.01159021,0.01849841,0.01698856,-0.02404994,-0.04750986,-0.01196561,-0.01380016,-0.00005005,0.01383728,0.02637444,-0.00730104,0.03199872,-0.01611011,0.04916240,0.03431140,0.03465017,-0.05202774,0.01688764,-0.00402148,0.01666306,0.00397066,-0.02513634,-0.02566806,0.00141184,0.03615305,0.00939675,0.01146079,-0.00249208
x_5,0.04332153,0.01174190,0.27801577,0.02788424,1.00000000,0.30780783,0.27936810,-0.00874472,-0.11265057,0.28176406,0.36561763,0.31059858,0.00423277,0.01945589,0.27421216,0.34229693,0.28745400,0.16894309,-0.03603058,0.26400846,0.33496634,0.25315876,0.01885064,0.42560987,0.00892416,0.02342672,0.33738505,0.02796808,0.03210206,0.37249754,0.35326706,0.26355587,0.09445169,0.31497268,0.28000634,0.29387989,0.27359610,0.32832699,0.45434431,0.38528023
x_6,-0.00227876,-0.02143636,0.26562463,-0.00166409,0.30780783,1.00000000,0.28385586,0.01896000,0.53853864,0.20278126,0.27806763,0.24650865,0.01370357,0.05828879,0.28169221,0.32975202,0.22305303,0.13786313,-0.00619690,0.26452565,0.32032561,0.23805853,0.04520451,0.37726279,0.02470756,-0.01488443,0.28861361,0.00536551,0.03096266,0.33956858,0.34212266,0.20940201,0.02767453,0.25067009,0.29600421,0.28422632,0.24077106,0.25639080,0.40708845,0.49245126
x_7,0.02031224,0.00039873,0.25891362,-0.04544986,0.27936810,0.28385586,1.00000000,0.04326257,0.60882710,0.24667260,0.31077302,0.26081430,0.01316986,0.03937870,0.26809547,0.28175604,0.26736120,0.18831833,-0.00895110,0.27105720,0.32800455,0.23399581,-0.01791873,0.41617613,-0.04487449,0.01269992,0.34702955,0.00383214,0.02784618,0.35377173,0.38012327,0.24318918,0.03474108,0.26452460,0.19749688,0.22382040,0.22293711,0.25196906,0.34107317,0.49791056
x_8,0.03349581,-0.00157972,0.02319919,-0.00846646,-0.00874472,0.01896000,0.04326257,1.00000000,0.04991100,0.05864998,0.04423668,0.00869848,-0.01450997,-0.00335992,0.02307354,-0.00550850,0.00525338,0.02327988,-0.02633997,0.03696963,-0.01148490,-0.06105120,0.02545535,-0.03081584,-0.00610235,-0.00167567,-0.04235639,0.01419813,-0.04038906,-0.00002638,0.03565019,-0.06721142,-0.08574492,-0.02610650,-0.01030935,-0.02044521,-0.01380764,-0.00329652,-0.01976688,0.00728603
x_9,0.01002549,-0.01785056,0.67674413,0.00150898,-0.11265057,0.53853864,0.60882710,0.04991100,1.00000000,0.16733058,0.20572704,0.17627619,0.03707667,0.04224897,0.23861833,0.26968308,0.19832231,0.12845437,-0.00166847,0.24641796,0.28396796,0.20128743,-0.01407813,0.34065841,-0.02996160,0.01401291,0.28075247,-0.00361419,-0.02291892,0.28617706,0.32528131,0.19277794,-0.00100195,0.19635156,0.20691982,0.21127324,0.21685494,0.19247142,0.30672410,0.53313906
x_10,0.04256965,-0.03726190,0.19860759,-0.04298678,0.28176406,0.20278126,0.24667260,0.05864998,0.16733058,1.00000000,0.82311671,0.25660815,0.04633474,0.00847143,0.20562156,0.27608920,0.17053193,0.08040851,-0.00651055,0.17156886,0.22669603,0.18419744,0.02589439,0.33182731,-0.03025673,0.01660142,0.25683595,0.05630135,-0.07320821,0.29720606,0.30648329,0.20735809,0.04909418,0.25063472,0.16629055,0.20110010,0.16567620,0.15991161,0.25718591,0.48711472
x_11,0.02966798,-0.03054665,0.23284310,-0.00735477,0.36561763,0.27806763,0.31077302,0.04423668,0.20572704,0.82311671,1.00000000,0.73808167,0.03324124,0.02942520,0.27872696,0.35876513,0.23238892,0.12077242,-0.01743431,0.25456699,0.31351911,0.24208220,0.01423557,0.44568230,-0.00904439,0.01863112,0.35246294,0.03722851,-0.05375263,0.38494541,0.38564437,0.26535172,0.06641015,0.30823742,0.22170479,0.24984869,0.23438957,0.23663613,0.35278225,0.62055245
x_12,0.00318209,-0.01653070,0.19319814,0.03069460,0.31059858,0.24650865,0.26081430,0.00869848,0.17627619,0.25660815,0.73808167,1.00000000,-0.00163500,0.04104916,0.24493340,0.31421863,0.21870766,0.12090519,-0.01872359,0.23888308,0.28369329,0.21177992,-0.00312163,0.39921715,0.02010356,0.00458375,0.32413248,0.00218268,-0.00833093,0.33035316,0.30708816,0.21918587,0.06807624,0.25234906,0.19908124,0.20562672,0.22670625,0.23076510,0.32627776,0.50818450
