,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_1,1.00000000,-0.01411791,-0.00467404,0.00080560,0.00496644,-0.02307197,-0.00685233,0.00711532,-0.01617843,-0.00457778,-0.00600860,-0.01293336,-0.00767692,0.00443838,-0.00322130,-0.01467829,-0.01337668,-0.00273019,0.00203013,0.00099455,-0.01254382,-0.01986964,0.00880752,-0.01579421,0.00959840,-0.03712608,-0.00900038,0.00564491,-0.01406042,-0.01340427,0.00145279,-0.01431117,-0.01587902,-0.00878649,-0.00741461,-0.01306575,-0.00729581,0.02080516,-0.00045670,-0.00890090
x_2,-0.01411791,1.00000000,-0.02615987,0.00214304,-0.01816228,-0.01734784,-0.03324240,0.01900166,-0.03008108,-0.02577677,-0.02690458,-0.01725273,-0.01414327,0.01719351,-0.00646588,-0.01448675,-0.02758355,-0.01871657,0.00993333,-0.00097685,-0.00406703,-0.00881236,0.01679153,-0.01913551,-0.00772874,-0.01571344,-0.01280063,0.01253391,0.02952238,-0.02667723,-0.01321216,-0.02085790,-0.01644853,-0.01472479,-0.01570443,-0.02257388,-0.00618656,-0.01177507,-0.01893739,-0.02705490
x_3,-0.00467404,-0.02615987,1.00000000,-0.00214414,0.41084274,0.40323542,0.41087390,-0.02523242,0.74500296,0.39440729,0.44762604,0.36726883,0.01606481,0.01465693,0.38625450,0.42309158,0.37851166,0.27760246,-0.02148377,0.39714631,0.47366267,0.39605340,-0.01491703,0.50420368,0.01443527,-0.00304272,0.43507018,0.02380540,-0.02149528,0.43081802,0.44046327,0.38865671,0.20570822,0.39416909,0.40097395,0.40074497,0.40517417,0.38277204,0.53419398,0.63357043
x_4,0.00080560,0.00214304,-0.00214414,1.00000000,0.01927249,-0.01237851,-0.03266546,-0.00565338,-0.02937441,-0.00372553,0.00164950,0.00561792,0.01795750,0.00605859,0.00387931,-0.02169982,-0.02083739,0.00265715,-0.00135195,-0.00770549,-0.01157512,-0.01357047,0.00018079,-0.01101925,-0.02166799,0.01940282,0.00003769,-0.00056127,-0.00960807,-0.01933795,0.00169200,0.00937542,0.00293441,-0.00245888,-0.02248014,-0.01365628,0.00963058,-0.01102132,-0.01270018,-0.01055072
x_5,0.00496644,-0.01816228,0.41084274,0.01927249,1.00000000,0.41430823,0.41865135,-0.01417083,0.10085987,0.41782689,0.49321522,0.42144733,0.01282795,0.00165335,0.41873457,0.44586042,0.41017457,0.30977596,-0.01030619,0.40778359,0.48187007,0.39708317,0.00088105,0.52227471,0.01049360,0.00459237,0.44144405,0.01793019,0.02212479,0.45138990,0.44768131,0.41533661,0.23545849,0.40678786,0.42488807,0.39613367,0.41614648,0.41490699,0.55708624,0.52942756
x_6,-0.02307197,-0.01734784,0.40323542,-0.01237851,0.41430823,1.00000000,0.40806051,-0.00229009,0.63184026,0.39225854,0.46329756,0.39303038,0.00637148,0.00604189,0.39717410,0.43378108,0.39717686,0.29291354,-0.01726173,0.40739924,0.47976870,0.39778479,0.02182314,0.50531533,0.00624520,0.00446759,0.43248869,0.01009310,-0.00003535,0.43104000,0.43311989,0.39636691,0.22535597,0.40165682,0.40725832,0.40085701,0.39325284,0.37283755,0.52796634,0.61867019
x_7,-0.00685233,-0.03324240,0.41087390,-0.03266546,0.41865135,0.40806051,1.00000000,0.00002311,0.68598019,0.40393474,0.47355562,0.39915777,0.00683758,-0.00265236,0.39774229,0.43491103,0.40754483,0.30196848,-0.01890045,0.40404411,0.47638740,0.39136231,-0.00256168,0.51267782,0.00738474,0.00550471,0.43561282,0.00536824,0.00713921,0.44122668,0.45758871,0.39105773,0.19287975,0.38322906,0.38299083,0.39327187,0.39042038,0.40083092,0.52785684,0.62647594
x_8,0.00711532,0.01900166,-0.02523242,-0.00565338,-0.01417083,-0.00229009,0.00002311,1.00000000,-0.00752214,0.00941911,-0.00910385,-0.02245089,-0.01500223,-0.01268785,-0.01956565,-0.01965943,-0.02259842,-0.01742974,-0.00366947,0.00206925,-0.00923654,-0.02142900,0.00638432,-0.02157905,-0.01201071,-0.01973127,-0.02579833,0.01688810,0.01316353,-0.01160002,-0.00713272,-0.01951169,-0.02096673,-0.02448374,-0.04407571,-0.02618007,-0.01319574,-0.01858466,-0.03338700,-0.02458048
x_9,-0.01617843,-0.03008108,0.74500296,-0.02937441,0.10085987,0.63184026,0.68598019,-0.00752214,1.00000000,0.37604591,0.43065720,0.35423092,0.01091195,0.00276398,0.36881923,0.41134366,0.37414162,0.27099816,-0.02246633,0.38934342,0.46011199,0.38184744,-0.00358849,0.48528074,0.00942149,0.00193491,0.41797219,0.01214760,-0.02247307,0.41392192,0.43094599,0.36664624,0.18580320,0.37693029,0.36806997,0.38861836,0.37510375,0.36000299,0.50063218,0.66332152
x_10,-0.00457778,-0.02577677,0.39440729,-0.00372553,0.41782689,0.39225854,0.40393474,0.00941911,0.37604591,1.00000000,0.85806098,0.39908042,0.03484143,0.00354769,0.37713901,0.41965651,0.36839886,0.26675382,-0.02981324,0.38663749,0.45310819,0.37409614,-0.01375150,0.49935089,-0.00019753,0.00805856,0.42595323,0.02972238,-0.01207130,0.42938201,0.42474072,0.39253189,0.21252446,0.37646348,0.37969199,0.37101868,0.37500518,0.37522693,0.50597122,0.65672138
x_11,-0.00600860,-0.02690458,0.44762604,0.00164950,0.49321522,0.46329756,0.47355562,-0.00910385,0.43065720,0.85806098,1.00000000,0.79558488,0.02947669,0.00549396,0.45723406,0.49641950,0.44181178,0.32820010,-0.02112504,0.45914173,0.53593278,0.44170900,-0.01645870,0.59248443,0.00678793,0.00918967,0.50775432,0.01813671,-0.01175046,0.50546394,0.50481998,0.46292995,0.25017946,0.44254203,0.45222192,0.43586045,0.45119152,0.44423025,0.59998983,0.77208500
x_12,-0.01293336,-0.01725273,0.36726883,0.00561792,0.42144733,0.39303038,0.39915777,-0.02245089,0.35423092,0.39908042,0.79558488,1.00000000,0.00822260,0.00461304,0.40251658,0.42775435,0.38279017,0.29145024,-0.00220927,0.39460582,0.45834577,0.37620140,-0.00880179,0.50797423,0.01519915,0.00778987,0.43776036,0.00357377,-0.00876776,0.42937965,0.43014985,0.38927973,0.21022388,0.37200208,0.38428362,0.37171838,0.39863775,0.37864928,0.51505110,0.64192396
x_13,-0.00767692,-0.01414327,0.01606481,0.01795750,0.01282795,0.00637148,0.00683758,-0.01500223,0.01091195,0.03484143,0.02947669,0.00822260,1.00000000,-0.00640575,0.00732705,-0.00554276,-0.00894296,0.00506562,-0.01671884,0.00476189,-0.00193371,-0.00605298,0.00480503,0.00782905,0.01388852,0.00087675,0.01597198,0.00810945,-0.00701508,-0.00491001,0.00164366,0.00059943,-0.00714991,-0.01132860,0.00984378,-0.00820169,0.00998860,0.00301138,0.00624366,0.01119307
x_14,0.00443838,0.01719351,0.01465693,0.00605859,0.00165335,0.00604189,-0.00265236,-0.01268785,0.00276398,0.00354769,0.00549396,0.00461304,-0.00640575,1.00000000,0.01505042,-0.01003427,0.00349269,0.01780412,-0.00610129,0.00020198,-0.00068301,-0.00166261,0.01328040,-0.00401400,0.00971874,-0.00677835,0.01128618,-0.00259111,0.00232258,-0.01839907,0.01327265,0.02802464,0.01553579,0.01095450,0.01524184,0.00624323,0.00800815,-0.02319417,-0.00143912,0.00835949
x_15,-0.00322130,-0.00646588,0.38625450,0.00387931,0.41873457,0.39717410,0.39774229,-0.01956565,0.36881923,0.37713901,0.45723406,0.40251658,0.00732705,0.01505042,1.00000000,0.42792219,0.38452132,0.70230844,-0.02380307,0.39706478,0.45756138,0.37122388,-0.00220597,0.50361664,0.00697472,0.00684519,0.43939295,0.00372025,0.01767751,0.42200500,0.44201543,0.38494666,0.20341113,0.39120212,0.40736447,0.39677018,0.39573603,0.38711715,0.53227951,0.63234677
x_16,-0.01467829,-0.01448675,0.42309158,-0.02169982,0.44586042,0.43378108,0.43491103,-0.01965943,0.41134366,0.41965651,0.49641950,0.42775435,-0.00554276,-0.01003427,0.42792219,1.00000000,0.43077980,0.00843437,-0.02245206,0.42055661,0.49862451,0.41809668,-0.01272621,0.53295902,0.00839067,0.01006847,0.46480944,0.02678470,-0.01014309,0.44550204,0.45439493,0.40764015,0.23305411,0.42720874,0.43700547,0.42250779,0.42831148,0.42468081,0.57580876,0.54838709
x_17,-0.01337668,-0.02758355,0.37851166,-0.02083739,0.41017457,0.39717686,0.40754483,-0.02259842,0.37414162,0.36839886,0.44181178,0.38279017,-0.00894296,0.00349269,0.38452132,0.43077980,1.00000000,0.70710371,0.00602898,0.38928304,0.46221564,0.38421781,-0.00348757,0.50370879,-0.01197345,-0.00034143,0.43659797,0.01363553,0.01579139,0.42857796,0.44006661,0.38928550,0.20126544,0.37703079,0.38732024,0.36872442,0.39590657,0.37732106,0.51615609,0.62347546
x_18,-0.00273019,-0.01871657,0.27760246,0.00265715,0.30977596,0.29291354,0.30196848,-0.01742974,0.27099816,0.26675382,0.32820010,0.29145024,0.00506562,0.01780412,0.70230844,0.00843437,0.70710371,1.00000000,-0.00121380,0.29597586,0.34039772,0.27383288,0.00492979,0.38179103,-0.01144760,-0.00161048,0.33208601,-0.00544763,0.03308753,0.32438223,0.34653091,0.29584774,0.13691612,0.27491432,0.28996896,0.27975118,0.29533634,0.27710183,0.38469779,0.54890731
x_19,0.00203013,0.00993333,-0.02148377,-0.00135195,-0.01030619,-0.01726173,-0.01890045,-0.00366947,-0.02246633,-0.02981324,-0.02112504,-0.00220927,-0.01671884,-0.00610129,-0.02380307,-0.02245206,0.00602898,-0.00121380,1.00000000,0.00049136,-0.00813957,-0.01327218,0.00327323,-0.02071473,-0.01223550,-0.00268282,-0.02126190,0.01936436,-0.03223681,-0.01468292,-0.03624718,-0.00701388,0.01191384,-0.01811952,-0.00112175,-0.01264904,-0.02029743,-0.03607839,-0.02752070,-0.01925414
x_20,0.00099455,-0.00097685,0.39714631,-0.00770549,0.40778359,0.40739924,0.40404411,0.00206925,0.38934342,0.38663749,0.45914173,0.39460582,0.00476189,0.00020198,0.39706478,0.42055661,0.38928304,0.29597586,0.00049136,1.00000000,0.79873379,0.37638131,-0.01188184,0.50145520,-0.01165026,0.00395657,0.43286227,0.00085997,-0.00095442,0.42516658,0.44112396,0.39034939,0.20937494,0.38450179,0.39316912,0.37388016,0.39846537,0.38152290,0.52023190,0.63277818
x_21,-0.01254382,-0.00406703,0.47366267,-0.01157512,0.48187007,0.47976870,0.47638740,-0.00923654,0.46011199,0.45310819,0.53593278,0.45834577,-0.00193371,-0.00068301,0.45756138,0.49862451,0.46221564,0.34039772,-0.00813957,0.79873379,1.00000000,0.84653252,-0.01285185,0.59142091,-0.00298494,-0.00659555,0.51362339,0.01373081,-0.00609556,0.49910041,0.52285272,0.47055044,0.24582040,0.44561013,0.46103094,0.45299013,0.46038904,0.45260717,0.61346841,0.75631768
